file,obj,x,y
221104VIU_0007.fits,V1301Cas,1933.569,2142.753
221104VIU_0007.fits,UCAC3296-11711,2638.19,1740.072
221104VIU_0007.fits,UCAC3296-11655,2789.97,1410.561
221104VIU_0007.fits,CGCS68,2980.548,1873.038
221104VIU_0008.fits,V1301Cas,1935.143,2141.134
221104VIU_0008.fits,UCAC3296-11711,2638.695,1739.743
221104VIU_0008.fits,UCAC3296-11655,2790.024,1409.517
221104VIU_0008.fits,CGCS68,2980.548,1872.677
221104VIU_0009.fits,V1301Cas,1935.352,2142.81
221104VIU_0009.fits,UCAC3296-11711,2638.26,1740.612
221104VIU_0009.fits,UCAC3296-11655,2789.753,1409.434
221104VIU_0009.fits,CGCS68,2979.704,1872.932
221104VIU_0010.fits,V1301Cas,1934.095,2144.276
221104VIU_0010.fits,UCAC3296-11711,2636.198,1739.885
221104VIU_0010.fits,UCAC3296-11655,2788.619,1412.248
221104VIU_0010.fits,CGCS68,2980.79,1875.828
221104VIU_0011.fits,V1301Cas,1931.791,2145.323
221104VIU_0011.fits,UCAC3296-11711,2635.572,1743.012
221104VIU_0011.fits,UCAC3296-11655,2787.84,1413.728
221104VIU_0011.fits,CGCS68,2977.011,1874.599
221104VIU_0012.fits,V1301Cas,1931.791,2146.999
221104VIU_0012.fits,UCAC3296-11711,2633.688,1744.129
221104VIU_0012.fits,UCAC3296-11655,2785.25,1416.906
221104VIU_0012.fits,CGCS68,2976.577,1877.205
221104VIU_0013.fits,V1301Cas,1929.487,2147.837
221104VIU_0013.fits,UCAC3296-11711,2632.385,1746.301
221104VIU_0013.fits,UCAC3296-11655,2784.916,1417.165
221104VIU_0013.fits,CGCS68,2973.635,1876.395
221104VIU_0014.fits,V1301Cas,1928.02,2149.304
221104VIU_0014.fits,UCAC3296-11711,2629.698,1747.282
221104VIU_0014.fits,UCAC3296-11655,2782.283,1416.463
221104VIU_0014.fits,CGCS68,2972.549,1879.291
221104VIU_0015.fits,V1301Cas,1925.087,2149.513
221104VIU_0015.fits,UCAC3296-11711,2630.602,1747.583
221104VIU_0015.fits,UCAC3296-11655,2781.293,1419.03
221104VIU_0015.fits,CGCS68,2971.831,1880.202
221104VIU_0016.fits,V1301Cas,1924.459,2152.027
221104VIU_0016.fits,UCAC3296-11711,2627.556,1749.695
221104VIU_0016.fits,UCAC3296-11655,2779.157,1418.834
221104VIU_0016.fits,CGCS68,2967.809,1880.705
221104VIU_0017.fits,V1301Cas,1920.06,2155.379
221104VIU_0017.fits,UCAC3296-11711,2621.708,1752.661
221104VIU_0017.fits,UCAC3296-11655,2774.861,1422.256
221104VIU_0017.fits,CGCS68,2964.68,1884.136
221104VIU_0018.fits,V1301Cas,1917.127,2156.845
221104VIU_0018.fits,UCAC3296-11711,2618.96,1754.909
221104VIU_0018.fits,UCAC3296-11655,2772.487,1426.225
221104VIU_0018.fits,CGCS68,2960.909,1887.698
221104VIU_0019.fits,V1301Cas,1915.661,2157.474
221104VIU_0019.fits,UCAC3296-11711,2618.96,1755.271
221104VIU_0019.fits,UCAC3296-11655,2769.303,1425.229
221104VIU_0019.fits,CGCS68,2960.281,1888.408
221104VIU_0020.fits,V1301Cas,1910.423,2160.406
221104VIU_0020.fits,UCAC3296-11711,2614.901,1756.553
221104VIU_0020.fits,UCAC3296-11655,2766.502,1427.159
221104VIU_0020.fits,CGCS68,2956.72,1890.293
221104VIU_0021.fits,V1301Cas,1908.538,2163.339
221104VIU_0021.fits,UCAC3296-11711,2610.885,1759.026
221104VIU_0021.fits,UCAC3296-11655,2763.575,1429.854
221104VIU_0021.fits,CGCS68,2953.04,1893.057
221104VIU_0022.fits,V1301Cas,1903.51,2165.015
221104VIU_0022.fits,UCAC3296-11711,2608.247,1762.32
221104VIU_0022.fits,UCAC3296-11655,2760.006,1432.56
221104VIU_0022.fits,CGCS68,2948.431,1894.732
221104VIU_0023.fits,V1301Cas,1900.577,2166.272
221104VIU_0023.fits,UCAC3296-11711,2603.718,1764.282
221104VIU_0023.fits,UCAC3296-11655,2756.045,1434.085
221104VIU_0023.fits,CGCS68,2944.388,1896.159
221104VIU_0024.fits,V1301Cas,1895.759,2171.09
221104VIU_0024.fits,UCAC3296-11711,2598.76,1768.363
221104VIU_0024.fits,UCAC3296-11655,2750.935,1436.817
221104VIU_0024.fits,CGCS68,2941.874,1899.302
221104VIU_0025.fits,V1301Cas,1889.474,2172.976
221104VIU_0025.fits,UCAC3296-11711,2593.331,1771.38
221104VIU_0025.fits,UCAC3296-11655,2744.469,1440.099
221104VIU_0025.fits,CGCS68,2935.173,1902.025
221104VIU_0026.fits,V1301Cas,1887.589,2173.814
221104VIU_0026.fits,UCAC3296-11711,2590.704,1772.615
221104VIU_0026.fits,UCAC3296-11655,2743.094,1442.227
221104VIU_0026.fits,CGCS68,2932.659,1904.539
221104VIU_0027.fits,V1301Cas,1880.467,2177.375
221104VIU_0027.fits,UCAC3296-11711,2585.278,1775.262
221104VIU_0027.fits,UCAC3296-11655,2737.32,1446.305
221104VIU_0027.fits,CGCS68,2926.538,1909.156
221104VIU_0028.fits,V1301Cas,1877.115,2181.355
221104VIU_0028.fits,UCAC3296-11711,2578.851,1779.806
221104VIU_0028.fits,UCAC3296-11655,2730.609,1449.112
221104VIU_0028.fits,CGCS68,2920.603,1913.346
221104VIU_0029.fits,V1301Cas,1869.364,2188.059
221104VIU_0029.fits,UCAC3296-11711,2572.566,1782.529
221104VIU_0029.fits,UCAC3296-11655,2725.899,1452.183
221104VIU_0029.fits,CGCS68,2914.022,1916.916
221104VIU_0030.fits,V1301Cas,1863.079,2189.944
221104VIU_0030.fits,UCAC3296-11711,2566.073,1786.58
221104VIU_0030.fits,UCAC3296-11655,2717.389,1454.899
221104VIU_0030.fits,CGCS68,2906.48,1919.22
221104VIU_0031.fits,V1301Cas,1858.889,2193.506
221104VIU_0031.fits,UCAC3296-11711,2562.092,1788.465
221104VIU_0031.fits,UCAC3296-11655,2711.381,1457.017
221104VIU_0031.fits,CGCS68,2902.829,1921.487
221104VIU_0032.fits,V1301Cas,1848.834,2196.019
221104VIU_0032.fits,UCAC3296-11711,2553.938,1793.999
221104VIU_0032.fits,UCAC3296-11655,2703.511,1463.198
221104VIU_0032.fits,CGCS68,2894.659,1925.676
221104VIU_0033.fits,V1301Cas,1843.771,2198.952
221104VIU_0033.fits,UCAC3296-11711,2545.558,1795.675
221104VIU_0033.fits,UCAC3296-11655,2697.41,1465.539
221104VIU_0033.fits,CGCS68,2887.704,1926.679
221104VIU_0034.fits,V1301Cas,1834.868,2201.047
221104VIU_0034.fits,UCAC3296-11711,2538.168,1797.146
221104VIU_0034.fits,UCAC3296-11655,2689.014,1466.462
221104VIU_0034.fits,CGCS68,2879.848,1930.869
221104VIU_0035.fits,V1301Cas,1828.583,2202.094
221104VIU_0035.fits,UCAC3296-11711,2531.883,1798.613
221104VIU_0035.fits,UCAC3296-11655,2681.828,1469.563
221104VIU_0035.fits,CGCS68,2872.652,1932.754
221104VIU_0036.fits,V1301Cas,1822.997,2206.459
221104VIU_0036.fits,UCAC3296-11711,2525.657,1801.272
221104VIU_0036.fits,UCAC3296-11655,2676.559,1470.769
221104VIU_0036.fits,CGCS68,2867.624,1934.262
221104VIU_0037.fits,V1301Cas,1813.745,2207.506
221104VIU_0037.fits,UCAC3296-11711,2517.864,1803.283
221104VIU_0037.fits,UCAC3296-11655,2667.569,1472.763
221104VIU_0037.fits,CGCS68,2861.211,1933.528
221105VIU_0019.fits,V1301Cas,1915.899,2157.413
221105VIU_0019.fits,UCAC3296-11711,2619.227,1753.839
221105VIU_0019.fits,UCAC3296-11655,2771.114,1423.562
221105VIU_0019.fits,CGCS68,2960.189,1885.104
221105VIU_0020.fits,V1301Cas,1913.804,2155.318
221105VIU_0020.fits,UCAC3296-11711,2616.965,1751.074
221105VIU_0020.fits,UCAC3296-11655,2770.637,1422.463
221105VIU_0020.fits,CGCS68,2959.618,1883.369
221105VIU_0021.fits,V1301Cas,1911.919,2153.432
221105VIU_0021.fits,UCAC3296-11711,2615.109,1750.179
221105VIU_0021.fits,UCAC3296-11655,2767.229,1420.045
221105VIU_0021.fits,CGCS68,2958.713,1881.257
221105VIU_0022.fits,V1301Cas,1911.291,2153.642
221105VIU_0022.fits,UCAC3296-11711,2614.9,1750.179
221105VIU_0022.fits,UCAC3296-11655,2767.334,1420.11
221105VIU_0022.fits,CGCS68,2957.684,1880.985
221105VIU_0023.fits,V1301Cas,1911.081,2152.176
221105VIU_0023.fits,UCAC3296-11711,2614.85,1748.951
221105VIU_0023.fits,UCAC3296-11655,2766.214,1418.862
221105VIU_0023.fits,CGCS68,2956.218,1880.357
221105VIU_0024.fits,V1301Cas,1911.081,2152.176
221105VIU_0024.fits,UCAC3296-11711,2612.587,1746.688
221105VIU_0024.fits,UCAC3296-11655,2766.9,1415.939
221105VIU_0024.fits,CGCS68,2954.4,1878.237
221105VIU_0025.fits,V1301Cas,1908.567,2146.729
221105VIU_0025.fits,UCAC3296-11711,2612.275,1742.755
221105VIU_0025.fits,UCAC3296-11655,2765.091,1413.014
221105VIU_0025.fits,CGCS68,2953.495,1875.522
221105VIU_0026.fits,V1301Cas,908.148,2145.472
221105VIU_0026.fits,UCAC3296-11711,2611.521,1739.739
221105VIU_0026.fits,UCAC3296-11655,2764.796,1409.903
221105VIU_0026.fits,CGCS68,2952.514,1872.741
221105VIU_0027.fits,V1301Cas,1908.777,2141.282
221105VIU_0027.fits,UCAC3296-11711,2612.174,1737.952
221105VIU_0027.fits,UCAC3296-11655,2765.041,1406.83
221105VIU_0027.fits,CGCS68,2953.117,1869.423
221105VIU_0028.fits,V1301Cas,1910.453,2140.654
221105VIU_0028.fits,UCAC3296-11711,2612.435,1736.334
221105VIU_0028.fits,UCAC3296-11655,2765.284,1405.504
221105VIU_0028.fits,CGCS68,2954.238,1867.738
221105VIU_0029.fits,V1301Cas,1909.196,2137.511
221105VIU_0029.fits,UCAC3296-11711,2612.133,1733.318
221105VIU_0029.fits,UCAC3296-11655,2765.262,1402.975
221105VIU_0029.fits,CGCS68,2956.336,1865.773
221105VIU_0030.fits,V1301Cas,1910.872,2134.579
221105VIU_0030.fits,UCAC3296-11711,2612.943,1731.719
221105VIU_0030.fits,UCAC3296-11655,2765.094,1400.187
221105VIU_0030.fits,CGCS68,2956.336,1863.239
221105VIU_0031.fits,V1301Cas,1910.872,2132.274
221105VIU_0031.fits,UCAC3296-11711,2612.441,1730.211
221105VIU_0031.fits,UCAC3296-11655,2766.711,1399.168
221105VIU_0031.fits,CGCS68,2956.478,1861.599
221105VIU_0032.fits,V1301Cas,1910.662,2131.227
221105VIU_0032.fits,UCAC3296-11711,2612.978,1727.934
221105VIU_0032.fits,UCAC3296-11655,2765.943,1397.387
221105VIU_0032.fits,CGCS68,2955.875,1859.186
221105VIU_0033.fits,V1301Cas,1912.129,2129.76
221105VIU_0033.fits,UCAC3296-11711,2617.754,1727.179
221105VIU_0033.fits,UCAC3296-11655,2769.179,1398.187
